measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All Ages,352,Cysticercosis,1,Number,2019,1045.713684922756,1408.8517953397575,714.6620230444494
1,Deaths,1,Global,3,Both,22,All Ages,353,Cystic echinococcosis,1,Number,2019,1349.3586895949923,1762.45115922901,987.3189807035467
1,Deaths,1,Global,3,Both,22,All Ages,357,Dengue,1,Number,2019,36055.0688550236,44467.88964032921,9176.30594118185
1,Deaths,1,Global,3,Both,22,All Ages,358,Yellow fever,1,Number,2019,4282.692874488325,8841.276530012488,1587.6332282172257
1,Deaths,1,Global,3,Both,22,All Ages,359,Rabies,1,Number,2019,13743.439330446183,17938.53290653046,6019.13119163236
1,Deaths,1,Global,3,Both,22,All Ages,360,Intestinal nematode infections,1,Number,2019,2089.602214399554,2638.1753566016127,1644.727384540008
1,Deaths,1,Global,3,Both,22,All Ages,365,Other neglected tropical diseases,1,Number,2019,13633.985423817021,33453.17279870196,9176.817497936383
1,Deaths,1,Global,3,Both,22,All Ages,366,Maternal disorders,1,Number,2019,196471.35188545863,225755.41592627735,171197.25126488943
1,Deaths,1,Global,3,Both,22,All Ages,423,Larynx cancer,1,Number,2019,123355.58985122667,132798.43266893146,114941.39743402814
1,Deaths,1,Global,3,Both,22,All Ages,426,"Tracheal, bronchus, and lung cancer",1,Number,2019,2042639.7363892663,2193268.972765379,1879241.239817795
1,Deaths,1,Global,3,Both,22,All Ages,429,Breast cancer,1,Number,2019,700659.9334364465,751555.0798023511,647383.8082149149
1,Deaths,1,Global,3,Both,22,All Ages,432,Cervical cancer,1,Number,2019,280479.0351903999,313929.70230407757,238863.963551034
1,Deaths,1,Global,3,Both,22,All Ages,435,Uterine cancer,1,Number,2019,91640.71204730337,101502.07108233971,82389.19913487014
1,Deaths,1,Global,3,Both,22,All Ages,438,Prostate cancer,1,Number,2019,486836.06666747126,593688.8455302118,420498.05413361033
1,Deaths,1,Global,3,Both,22,All Ages,441,Colon and rectum cancer,1,Number,2019,1085797.4989815422,1149678.5408239884,1002795.4112963527
1,Deaths,1,Global,3,Both,22,All Ages,444,Lip and oral cavity cancer,1,Number,2019,199397.55224116493,218058.55772592142,181651.48404333822
1,Deaths,1,Global,3,Both,22,All Ages,447,Nasopharynx cancer,1,Number,2019,71610.48888724513,77624.61581665,65442.01106344039
1,Deaths,1,Global,3,Both,22,All Ages,450,Other pharynx cancer,1,Number,2019,114206.7191835565,126039.37053087258,103153.61726217881
1,Deaths,1,Global,3,Both,22,All Ages,380,Neonatal disorders,1,Number,2019,1882438.4374748745,2237478.103741233,1605827.447799229
1,Deaths,1,Global,3,Both,22,All Ages,387,Protein-energy malnutrition,1,Number,2019,212242.11752966783,246216.9806805924,185402.7929076411
1,Deaths,1,Global,3,Both,22,All Ages,515,Asthma,1,Number,2019,461069.26253371476,559006.0464426279,366579.7396914311
1,Deaths,1,Global,3,Both,22,All Ages,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2019,169833.3744216665,204802.1526355029,118755.90922122877
1,Deaths,1,Global,3,Both,22,All Ages,520,Other chronic respiratory diseases,1,Number,2019,39760.873791469676,46580.51191470902,31085.471586348434
1,Deaths,1,Global,3,Both,22,All Ages,521,Cirrhosis and other chronic liver diseases,1,Number,2019,1472011.817712993,1578731.8120359718,1374608.695440261
1,Deaths,1,Global,3,Both,22,All Ages,453,Gallbladder and biliary tract cancer,1,Number,2019,172440.7526292525,188615.29112464344,144898.84652314882
1,Deaths,1,Global,3,Both,22,All Ages,456,Pancreatic cancer,1,Number,2019,531107.1150365397,566536.852152924,491948.1942999251
1,Deaths,1,Global,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,2019,62843.5880783146,71000.67167920682,46316.94872165688
1,Deaths,1,Global,3,Both,22,All Ages,462,Non-melanoma skin cancer,1,Number,2019,56053.55659315846,59792.38145926357,50414.84641457926
1,Deaths,1,Global,3,Both,22,All Ages,465,Ovarian cancer,1,Number,2019,198412.1754647824,217664.61845854274,175357.2550705098
1,Deaths,1,Global,3,Both,22,All Ages,468,Testicular cancer,1,Number,2019,10842.059336960037,11902.285663907058,9960.793932499875
1,Deaths,1,Global,3,Both,22,All Ages,471,Kidney cancer,1,Number,2019,166437.62399425072,176302.0745793708,155461.18262205517
1,Deaths,1,Global,3,Both,22,All Ages,474,Bladder cancer,1,Number,2019,228734.50076807468,243193.02589239425,210743.23265605787
1,Deaths,1,Global,3,Both,22,All Ages,477,Brain and central nervous system cancer,1,Number,2019,246253.26917432333,270929.9155416244,185641.83923935884
1,Deaths,1,Global,3,Both,22,All Ages,480,Thyroid cancer,1,Number,2019,45575.95607844101,48775.33636270005,41289.61208653719
1,Deaths,1,Global,3,Both,22,All Ages,483,Mesothelioma,1,Number,2019,29251.042049101525,31005.580732776943,26667.719165266797
1,Deaths,1,Global,3,Both,22,All Ages,484,Hodgkin lymphoma,1,Number,2019,27551.890239015345,31812.683468786625,23684.796464382463
1,Deaths,1,Global,3,Both,22,All Ages,485,Non-Hodgkin lymphoma,1,Number,2019,254614.46273853397,270352.5306559772,237714.28385432428
1,Deaths,1,Global,3,Both,22,All Ages,486,Multiple myeloma,1,Number,2019,113474.35593663153,121735.03429251944,99527.4543655611
1,Deaths,1,Global,3,Both,22,All Ages,594,Urinary diseases and male infertility,1,Number,2019,296763.03359079856,321330.7648880208,250324.51932903117
1,Deaths,1,Global,3,Both,22,All Ages,529,Appendicitis,1,Number,2019,33420.76257839802,38064.594353751585,27262.658877830014
1,Deaths,1,Global,3,Both,22,All Ages,530,Paralytic ileus and intestinal obstruction,1,Number,2019,238733.61895645797,265797.5819612422,199010.8497708319
1,Deaths,1,Global,3,Both,22,All Ages,531,"Inguinal, femoral, and abdominal hernia",1,Number,2019,48077.244430846804,54021.47820138886,41653.908658866945
1,Deaths,1,Global,3,Both,22,All Ages,532,Inflammatory bowel disease,1,Number,2019,40998.310844553,44660.804381112444,34932.98707604356
1,Deaths,1,Global,3,Both,22,All Ages,533,Vascular intestinal disorders,1,Number,2019,106575.78366840897,116427.68786740684,95112.93713120662
1,Deaths,1,Global,3,Both,22,All Ages,534,Gallbladder and biliary diseases,1,Number,2019,124940.8702400731,138614.96030920095,107105.48652647002
1,Deaths,1,Global,3,Both,22,All Ages,695,Other transport injuries,1,Number,2019,80589.70635240868,88996.47480552309,67616.19903770572
1,Deaths,1,Global,3,Both,22,All Ages,697,Falls,1,Number,2019,752536.5828860826,833694.5933390716,629666.8264325174
1,Deaths,1,Global,3,Both,22,All Ages,698,Drowning,1,Number,2019,237241.95610519036,261847.11571538003,214970.23319002884
1,Deaths,1,Global,3,Both,22,All Ages,699,"Fire, heat, and hot substances",1,Number,2019,111292.38571275011,132392.33642190395,88188.86246783144
1,Deaths,1,Global,3,Both,22,All Ages,700,Poisonings,1,Number,2019,77162.18457113681,85440.5372127463,63755.10788626166
1,Deaths,1,Global,3,Both,22,All Ages,704,Exposure to mechanical forces,1,Number,2019,122397.09504814612,140743.01547191857,95417.13913521888
1,Deaths,1,Global,3,Both,22,All Ages,603,Gynecological diseases,1,Number,2019,8640.725013684441,12566.695175848803,4841.388434351345
1,Deaths,1,Global,3,Both,22,All Ages,613,Hemoglobinopathies and hemolytic anemias,1,Number,2019,92814.30259779694,114527.62852244778,76980.4631002716
1,Deaths,1,Global,3,Both,22,All Ages,619,"Endocrine, metabolic, blood, and immune disorders",1,Number,2019,162039.1673787605,178615.44969401768,131144.69711218346
1,Deaths,1,Global,3,Both,22,All Ages,627,Rheumatoid arthritis,1,Number,2019,44408.35059767891,51747.786678963224,33953.68778890968
1,Deaths,1,Global,3,Both,22,All Ages,639,Other musculoskeletal disorders,1,Number,2019,73134.60613538044,85595.77521581294,58422.05611618807
1,Deaths,1,Global,3,Both,22,All Ages,641,Congenital birth defects,1,Number,2019,549304.6971543105,690237.3849703809,447796.69855219853
1,Deaths,1,Global,3,Both,22,All Ages,708,Adverse effects of medical treatment,1,Number,2019,105788.37857282435,116785.2094399874,89115.51344799511
1,Deaths,1,Global,3,Both,22,All Ages,709,Animal contact,1,Number,2019,93452.5668508453,113733.40690432368,61930.12076407923
1,Deaths,1,Global,3,Both,22,All Ages,712,Foreign body,1,Number,2019,114413.29171572214,123667.49696756557,104996.4952462025
1,Deaths,1,Global,3,Both,22,All Ages,716,Other unintentional injuries,1,Number,2019,106778.71863308626,118850.45710573056,83323.83513335594
